store_number,user_id,total_transactions,check_complete_rate,check_rate_flag,checks_completed,check_pass_rate,pass_rate_flag,has_recent_test_purchase_fail,failed_categories,has_category_check_issue,flagged_categories
005,U0080,288,0.1285,Normal,37,0.7568,Low pass rate - possible mislogging,false,,false,
025,U0449,172,0.9942,Very high - checking almost everyone,171,0.9883,High pass rate,false,,false,
019,U0319,124,0.121,Normal,15,0.9333,Normal,false,,false,
015,U0265,204,0.2402,Very high - checking almost everyone,49,0.8776,Normal,false,,false,
030,U0524,216,0.1157,Normal,25,0.96,Normal,false,,false,
024,U0429,256,0.1836,Normal,47,0.9362,Normal,false,,false,
025,U0448,268,0.0858,Normal,23,1.0,Normal,false,,false,
024,U0422,152,0.2237,Normal,34,0.9412,Normal,false,,false,
001,U0018,140,0.9357,Very high - checking almost everyone,131,0.7252,Low pass rate - possible mislogging,false,,false,
026,U0453,180,0.1556,Normal,28,0.8571,Normal,false,,false,
030,U0521,164,0.1951,Normal,32,0.9063,Normal,false,,false,
023,U0398,124,0.3226,Very high - checking almost everyone,40,0.9,Normal,false,,false,
027,U0477,148,0.1216,Normal,18,0.9444,Normal,false,,false,
013,U0226,120,0.0417,Very low - rarely checking ID,5,0.8,Unscored - low volume,false,,false,
029,U0513,508,0.939,Very high - checking almost everyone,477,0.6017,Low pass rate - possible mislogging,true,energy drinks,false,
006,U0110,364,0.0632,Normal,23,0.4783,Low pass rate - possible mislogging,true,analgesics,false,
020,U0347,308,0.1883,Normal,58,0.6552,Low pass rate - possible mislogging,true,energy drinks,false,
008,U0141,280,0.1214,Normal,34,0.9412,Normal,true,alcohol,false,
024,U0413,188,0.2128,Normal,40,1.0,High pass rate,true,analgesics,false,
009,U0154,256,0.1563,Normal,40,0.9,Normal,true,alcohol,false,
011,U0199,156,0.1667,Normal,26,0.7308,Low pass rate - possible mislogging,true,lottery,true,analgesics
013,U0223,120,0.0583,Normal,7,1.0,Normal,true,alcohol,true,alcohol
030,U0530,264,0.1364,Normal,36,0.9444,Normal,false,,true,energy drinks
030,U0526,316,0.1519,Normal,48,0.875,Normal,false,,true,fireworks
013,U0230,180,0.1667,Normal,30,0.9,Normal,false,,true,analgesics
020,U0361,332,0.0301,Very low - rarely checking ID,10,1.0,Normal,false,,true,tobacco
010,U0183,120,0.1583,Normal,19,0.8947,Normal,false,,true,energy drinks
026,U0463,216,0.2176,Normal,47,0.9362,Normal,false,,true,fireworks
014,U0245,412,0.1772,Normal,73,0.8493,Normal,false,,true,fireworks
008,U0149,324,0.0309,Very low - rarely checking ID,10,0.9,Normal,false,,true,tobacco
015,U0268,164,0.1159,Normal,19,1.0,Normal,false,,true,energy drinks
027,U0489,132,0.1515,Normal,20,1.0,Normal,false,,true,analgesics
002,U0034,156,0.2115,Normal,33,1.0,High pass rate,false,,true,energy drinks
015,U0272,152,0.1579,Normal,24,0.8333,Normal,false,,true,energy drinks
025,U0441,160,0.1,Normal,16,0.9375,Normal,false,,true,energy drinks
003,U0051,168,0.0774,Normal,13,0.9231,Normal,false,,true,energy drinks
012,U0209,168,0.1548,Normal,26,0.8846,Normal,false,,true,analgesics
014,U0248,428,0.1916,Normal,82,0.8659,Normal,false,,false,
026,U0452,544,0.182,Normal,99,0.9697,High pass rate,false,,false,
020,U0354,952,0.0315,Very low - rarely checking ID,30,0.9667,High pass rate,false,,false,
024,U0416,424,0.1486,Normal,63,0.7778,Low pass rate - possible mislogging,false,,false,
004,U0059,400,0.11,Normal,44,0.9318,Normal,false,,false,
010,U0179,312,0.1474,Normal,46,0.7174,Low pass rate - possible mislogging,false,,false,
002,U0029,224,0.192,Normal,43,0.8837,Normal,false,,false,
006,U0112,684,0.2032,Normal,139,0.8849,Normal,false,,false,
026,U0469,304,0.977,Very high - checking almost everyone,297,0.862,Normal,false,,false,
022,U0383,360,0.2028,Normal,73,0.9726,High pass rate,false,,false,
005,U0088,144,0.0625,Normal,9,0.8889,Normal,false,,false,
026,U0456,396,0.1793,Normal,71,0.8028,Normal,false,,false,
002,U0035,316,0.1962,Normal,62,0.9194,Normal,false,,false,
012,U0207,360,0.1778,Normal,64,0.9531,High pass rate,false,,false,
019,U0320,612,0.9575,Very high - checking almost everyone,586,0.884,Normal,false,,false,
003,U0039,1228,0.1164,Normal,143,0.8252,Normal,false,,false,
008,U0148,816,0.0944,Normal,77,0.8831,Normal,false,,false,
030,U0515,284,0.2042,Normal,58,0.9655,High pass rate,false,,false,
022,U0392,368,0.1413,Normal,52,0.9231,Normal,false,,false,
015,U0275,408,0.1299,Normal,53,0.8679,Normal,false,,false,
004,U0073,492,0.0447,Very low - rarely checking ID,22,0.9091,Normal,false,,false,
022,U0388,216,0.1204,Normal,26,0.9615,Normal,false,,false,
019,U0332,204,0.1618,Normal,33,0.9091,Normal,false,,false,
003,U0054,144,0.1042,Normal,15,1.0,Normal,false,,false,
017,U0293,196,0.148,Normal,29,0.8966,Normal,false,,false,
008,U0137,440,0.0318,Very low - rarely checking ID,14,0.7857,Low pass rate - possible mislogging,false,,false,
015,U0274,660,0.1348,Normal,89,0.8764,Normal,false,,false,
007,U0132,412,0.0825,Normal,34,0.8824,Normal,false,,false,
019,U0333,292,0.2192,Normal,64,0.8281,Normal,false,,false,
025,U0436,400,0.0575,Normal,23,0.6957,Low pass rate - possible mislogging,false,,false,
003,U0047,232,0.1853,Normal,43,0.8605,Normal,false,,false,
025,U0439,460,0.1174,Normal,54,0.8148,Normal,false,,false,
001,U0021,196,0.1122,Normal,22,0.9091,Normal,false,,false,
014,U0237,224,0.0402,Very low - rarely checking ID,9,0.7778,Low pass rate - possible mislogging,false,,false,
024,U0430,304,0.1645,Normal,50,0.94,Normal,false,,false,
014,U0252,364,0.2335,Very high - checking almost everyone,85,0.9647,High pass rate,false,,false,
021,U0379,408,0.2083,Normal,85,0.8471,Normal,false,,false,
020,U0362,252,0.0992,Normal,25,0.92,Normal,false,,false,
019,U0335,328,0.1829,Normal,60,0.9333,Normal,false,,false,
010,U0173,512,0.0313,Very low - rarely checking ID,16,0.9375,Normal,false,,false,
020,U0352,252,0.1508,Normal,38,0.7895,Low pass rate - possible mislogging,false,,false,
005,U0082,468,0.1261,Normal,59,0.8644,Normal,false,,false,
025,U0442,436,0.1995,Normal,87,0.908,Normal,false,,false,
027,U0490,580,0.2138,Normal,124,0.8548,Normal,false,,false,
005,U0098,164,0.128,Normal,21,0.8571,Normal,false,,false,
024,U0420,328,0.1189,Normal,39,0.7949,Low pass rate - possible mislogging,false,,false,
017,U0298,552,0.1014,Normal,56,0.9643,High pass rate,false,,false,
021,U0366,148,0.1014,Normal,15,0.9333,Normal,false,,false,
028,U0500,356,0.0899,Normal,32,0.875,Normal,false,,false,
010,U0167,168,0.1429,Normal,24,0.9583,Normal,false,,false,
016,U0284,480,0.9646,Very high - checking almost everyone,463,0.8143,Normal,false,,false,
010,U0169,748,0.1016,Normal,76,0.9474,Normal,false,,false,
006,U0117,200,0.12,Normal,24,0.9583,Normal,false,,false,
003,U0052,448,0.1808,Normal,81,0.9012,Normal,false,,false,
027,U0480,220,0.1045,Normal,23,0.913,Normal,false,,false,
013,U0221,360,0.1194,Normal,43,0.8605,Normal,false,,false,
005,U0090,472,0.1356,Normal,64,0.8906,Normal,false,,false,
019,U0325,408,0.1299,Normal,53,0.8302,Normal,false,,false,
003,U0055,208,0.1587,Normal,33,0.8182,Normal,false,,false,
019,U0328,312,0.2372,Very high - checking almost everyone,74,0.973,High pass rate,false,,false,
019,U0329,232,0.125,Normal,29,0.8621,Normal,false,,false,
018,U0308,428,0.1402,Normal,60,0.8,Normal,false,,false,
012,U0214,140,0.0857,Normal,12,0.75,Low pass rate - possible mislogging,false,,false,
024,U0424,316,0.1297,Normal,41,0.7805,Low pass rate - possible mislogging,false,,false,
002,U0027,316,0.0791,Normal,25,0.88,Normal,false,,false,
012,U0201,404,0.2005,Normal,81,0.6049,Low pass rate - possible mislogging,false,,false,
022,U0382,288,0.1389,Normal,40,0.95,High pass rate,false,,false,
009,U0153,184,0.0489,Very low - rarely checking ID,9,1.0,Normal,false,,false,
002,U0031,396,0.1818,Normal,72,0.8333,Normal,false,,false,
024,U0418,132,0.1591,Normal,21,0.9048,Normal,false,,false,
023,U0405,464,0.1681,Normal,78,0.9487,Normal,false,,false,
023,U0404,132,0.2348,Very high - checking almost everyone,31,0.8387,Normal,false,,false,
022,U0390,148,0.1149,Normal,17,0.9412,Normal,false,,false,
006,U0114,216,0.9398,Very high - checking almost everyone,203,0.9507,High pass rate,false,,false,
026,U0459,176,0.125,Normal,22,0.8182,Normal,false,,false,
003,U0053,236,0.1059,Normal,25,0.92,Normal,false,,false,
021,U0369,224,0.2098,Normal,47,0.9574,High pass rate,false,,false,
015,U0264,228,0.1798,Normal,41,0.8537,Normal,false,,false,
015,U0266,392,0.1046,Normal,41,0.7805,Low pass rate - possible mislogging,false,,false,
026,U0457,328,0.2683,Very high - checking almost everyone,88,0.9318,Normal,false,,false,
017,U0303,160,0.1625,Normal,26,0.8846,Normal,false,,false,
014,U0255,216,0.1481,Normal,32,0.9688,High pass rate,false,,false,
023,U0410,260,0.1846,Normal,48,0.8542,Normal,false,,false,
001,U0008,352,0.1222,Normal,43,0.8837,Normal,false,,false,
026,U0468,268,0.0746,Normal,20,1.0,Normal,false,,false,
028,U0498,268,0.194,Normal,52,0.75,Low pass rate - possible mislogging,false,,false,
024,U0433,356,0.1545,Normal,55,0.9273,Normal,false,,false,
006,U0113,128,0.1016,Normal,13,0.7692,Low pass rate - possible mislogging,false,,false,
018,U0311,124,0.0887,Normal,11,0.5455,Low pass rate - possible mislogging,false,,false,
029,U0510,120,0.2583,Very high - checking almost everyone,31,0.9677,High pass rate,false,,false,
002,U0037,264,0.9621,Very high - checking almost everyone,254,0.8583,Normal,false,,false,
025,U0447,240,0.1375,Normal,33,0.9697,High pass rate,false,,false,
008,U0139,132,0.2879,Very high - checking almost everyone,38,0.9474,Normal,false,,false,
011,U0197,144,0.1042,Normal,15,0.8667,Normal,false,,false,
024,U0415,204,0.1324,Normal,27,0.6667,Low pass rate - possible mislogging,false,,false,
018,U0316,232,0.0647,Normal,15,0.9333,Normal,false,,false,
004,U0078,172,0.9535,Very high - checking almost everyone,164,0.811,Normal,false,,false,
005,U0084,128,0.2422,Very high - checking almost everyone,31,0.9355,Normal,false,,false,
030,U0519,160,0.125,Normal,20,0.85,Normal,false,,false,
004,U0076,152,0.2171,Normal,33,0.9091,Normal,false,,false,
021,U0375,220,0.0545,Normal,12,0.9167,Normal,false,,false,
023,U0406,184,0.2228,Normal,41,0.8049,Normal,false,,false,
016,U0286,136,0.1691,Normal,23,0.6522,Low pass rate - possible mislogging,false,,false,
010,U0176,168,0.0952,Normal,16,0.875,Normal,false,,false,
027,U0471,132,0.1742,Normal,23,0.7826,Low pass rate - possible mislogging,false,,false,
018,U0307,284,0.0845,Normal,24,1.0,Normal,true,analgesics,false,
013,U0234,260,0.0615,Normal,16,1.0,Normal,true,energy drinks,false,
026,U0455,524,0.1221,Normal,64,0.8906,Normal,true,analgesics,false,
013,U0229,132,0.0833,Normal,11,0.9091,Normal,true,energy drinks,false,
011,U0194,132,0.1061,Normal,14,0.9286,Normal,true,analgesics,false,
026,U0465,308,0.026,Very low - rarely checking ID,8,0.625,Low pass rate - possible mislogging,true,energy drinks,true,tobacco
019,U0334,156,0.0705,Normal,11,0.9091,Normal,false,,true,energy drinks
019,U0340,144,0.0694,Normal,10,0.9,Normal,false,,true,energy drinks
023,U0394,136,0.2206,Normal,30,0.9667,High pass rate,false,,true,analgesics
011,U0196,228,0.1009,Normal,23,0.7826,Low pass rate - possible mislogging,false,,true,energy drinks
029,U0512,280,0.0357,Very low - rarely checking ID,10,0.9,Normal,false,,true,analgesics
010,U0164,420,0.2929,Very high - checking almost everyone,123,0.8943,Normal,false,,true,fireworks
027,U0487,180,0.2167,Normal,39,0.8718,Normal,false,,true,fireworks
018,U0309,272,0.2206,Normal,60,0.8833,Normal,false,,true,fireworks
001,U0015,196,0.051,Normal,10,1.0,Normal,false,,true,tobacco
001,U0006,228,0.1228,Normal,28,0.5357,Low pass rate - possible mislogging,false,,true,analgesics
012,U0204,136,0.0515,Normal,7,0.8571,Normal,false,,true,energy drinks
001,U0007,168,0.0714,Normal,12,0.9167,Normal,false,,true,lottery
013,U0216,204,0.2304,Very high - checking almost everyone,47,0.9149,Normal,false,,true,fireworks
015,U0277,216,0.162,Normal,35,0.9143,Normal,false,,true,energy drinks
017,U0302,280,0.1536,Normal,43,0.8837,Normal,false,,true,fireworks
010,U0184,152,0.0921,Normal,14,0.9286,Normal,false,,true,energy drinks
012,U0206,184,0.2663,Very high - checking almost everyone,49,0.9592,High pass rate,false,,true,analgesics
013,U0225,120,0.0417,Very low - rarely checking ID,5,1.0,Unscored - low volume,false,,true,lottery
013,U0235,124,0.0242,Very low - rarely checking ID,3,1.0,Unscored - low volume,false,,true,"tobacco, lottery"
008,U0142,208,0.1923,Normal,40,0.875,Normal,false,,true,fireworks
001,U0014,224,0.0804,Normal,18,0.6667,Low pass rate - possible mislogging,false,,true,analgesics
016,U0280,204,0.0735,Normal,15,0.7333,Low pass rate - possible mislogging,false,,true,analgesics
004,U0070,232,0.0216,Very low - rarely checking ID,5,0.8,Unscored - low volume,false,,true,analgesics
014,U0240,160,0.175,Normal,28,0.9286,Normal,false,,true,analgesics
011,U0191,132,0.1364,Normal,18,0.9444,Normal,false,,true,analgesics
018,U0314,196,0.1633,Normal,32,1.0,High pass rate,false,,true,fireworks
018,U0312,188,0.016,Very low - rarely checking ID,3,1.0,Unscored - low volume,false,,true,"tobacco, energy drinks"
